work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Data Engineer,204000,USD,204000,US,0,US,M
2024,SE,FT,Data Engineer,163200,USD,163200,US,0,US,M
2024,MI,FT,Data Scientist,135000,USD,135000,US,100,US,M
2024,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,195000,USD,195000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,170000,USD,170000,US,100,US,M
2024,MI,FT,Data Engineer,210000,USD,210000,US,0,US,M
2024,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,MI,FT,Data Scientist,136000,USD,136000,US,0,US,M
2024,MI,FT,Data Scientist,106700,USD,106700,US,0,US,M
2024,MI,FT,Data Scientist,164000,USD,164000,US,0,US,M
2024,MI,FT,Data Scientist,131000,USD,131000,US,0,US,M
2024,MI,FT,Applied Scientist,250000,USD,250000,US,0,US,M
2024,MI,FT,Applied Scientist,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
2024,SE,FT,Data Analyst,117000,USD,117000,US,0,US,M
2024,SE,FT,Data Engineer,205500,USD,205500,US,100,US,M
2024,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2024,SE,FT,Data Engineer,146000,USD,146000,US,0,US,M
2024,SE,FT,Data Engineer,82500,USD,82500,US,0,US,M
2024,MI,FT,Data Science Manager,240000,USD,240000,US,0,US,M
2024,MI,FT,Data Science Manager,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Analyst,157500,USD,157500,US,100,US,M
2024,SE,FT,Data Analyst,132500,USD,132500,US,100,US,M
2024,SE,FT,Data Engineer,209943,USD,209943,US,0,US,M
2024,SE,FT,Data Engineer,155175,USD,155175,US,0,US,M
2024,SE,FT,Data Scientist,244800,USD,244800,US,0,US,M
2024,SE,FT,Data Scientist,172000,USD,172000,US,0,US,M
2024,SE,FT,Research Scientist,250000,USD,250000,US,0,US,M
2024,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2024,SE,FT,Research Scientist,600000,USD,600000,US,0,US,M
2024,SE,FT,Research Scientist,280000,USD,280000,US,0,US,M
2024,SE,FT,Prompt Engineer,600000,USD,600000,US,0,US,M
2024,SE,FT,Prompt Engineer,280000,USD,280000,US,0,US,M
2024,SE,FT,Data Science,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Science,160000,USD,160000,US,0,US,M
2024,EN,FT,Data Analyst,184180,USD,184180,US,0,US,M
2024,EN,FT,Data Analyst,159870,USD,159870,US,0,US,M
2024,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
2024,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,SE,FT,Research Scientist,500000,USD,500000,US,100,US,M
2024,SE,FT,Research Scientist,180000,USD,180000,US,100,US,M
2024,SE,FT,Data Scientist,220000,USD,220000,US,0,US,M
2024,SE,FT,Data Scientist,137500,USD,137500,US,0,US,M
2024,SE,FT,AI Engineer,212000,USD,212000,US,0,US,M
2024,SE,FT,AI Engineer,93300,USD,93300,US,0,US,M
2024,SE,FT,Data Scientist,212000,USD,212000,US,0,US,M
2024,SE,FT,Data Scientist,93300,USD,93300,US,0,US,M
2024,EN,FT,Data Analyst,291900,USD,291900,US,0,US,M
2024,EN,FT,Data Analyst,103800,USD,103800,US,0,US,M
2024,SE,FT,Data Science,234000,USD,234000,US,0,US,M
2024,SE,FT,Data Science,146000,USD,146000,US,0,US,M
2024,SE,FT,Data Scientist,212000,USD,212000,US,0,US,M
2024,SE,FT,Data Scientist,93300,USD,93300,US,0,US,M
2024,MI,FT,Data Science Consultant,160000,USD,160000,US,100,US,M
2024,MI,FT,Data Science Consultant,70000,USD,70000,US,100,US,M
2024,SE,FT,Research Engineer,179000,USD,179000,US,0,US,M
2024,SE,FT,Research Engineer,112000,USD,112000,US,0,US,M
2024,EN,FT,Data Management Analyst,145000,USD,145000,US,0,US,M
2024,EN,FT,Data Management Analyst,120000,USD,120000,US,0,US,M
2024,MI,FT,Data Scientist,142100,USD,142100,US,0,US,M
2024,MI,FT,Data Scientist,94700,USD,94700,US,0,US,M
2024,MI,FT,AI Engineer,166000,USD,166000,US,0,US,M
2024,MI,FT,AI Engineer,73100,USD,73100,US,0,US,M
2024,SE,FT,Data Science Consultant,145000,USD,145000,US,0,US,M
2024,SE,FT,Data Science Consultant,128000,USD,128000,US,0,US,M
2024,EN,FT,Data Analyst,90000,USD,90000,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,MI,FT,Data Scientist,99000,USD,99000,US,0,US,M
2024,MI,FT,Data Scientist,87000,USD,87000,US,0,US,M
2024,EX,FT,Data Engineer,334075,USD,334075,CA,0,CA,M
2024,EX,FT,Data Engineer,268500,USD,268500,CA,0,CA,M
2024,SE,FT,Data Scientist,230000,USD,230000,US,0,US,M
2024,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M
2024,SE,FT,Research Analyst,212000,USD,212000,US,0,US,M
2024,SE,FT,Research Analyst,93300,USD,93300,US,0,US,M
2024,EN,FT,Data Operations Analyst,110500,USD,110500,US,0,US,M
2024,EN,FT,Data Operations Analyst,69000,USD,69000,US,0,US,M
2024,SE,FT,Data Management Consultant,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Management Consultant,85000,USD,85000,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,107690,USD,107690,US,0,US,M
2024,MI,FT,Business Intelligence Analyst,78300,USD,78300,US,0,US,M
2024,EN,FT,Analytics Engineer,131000,USD,131000,US,100,US,M
2024,EN,FT,Analytics Engineer,110000,USD,110000,US,100,US,M
2024,EN,FT,Data Analyst,133000,USD,133000,US,0,US,M
2024,EN,FT,Data Analyst,58400,USD,58400,US,0,US,M
2024,EN,FT,Data Engineer,115000,USD,115000,US,100,US,M
2024,EN,FT,Data Engineer,87550,USD,87550,US,100,US,M
2024,EX,FT,Data Engineer,209309,USD,209309,US,0,US,M
2024,EX,FT,Data Engineer,168854,USD,168854,US,0,US,M
2024,EN,FT,Research Analyst,133000,USD,133000,US,0,US,M
2024,EN,FT,Research Analyst,58400,USD,58400,US,0,US,M
2024,SE,FT,Data Scientist,269000,USD,269000,CA,0,CA,M
2024,SE,FT,Data Scientist,165000,USD,165000,CA,0,CA,M
2024,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M
2024,SE,FT,Data Scientist,185000,USD,185000,US,0,US,M
2024,SE,FT,Research Scientist,333500,USD,333500,US,0,US,M
2024,SE,FT,Research Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,195000,USD,195000,US,100,US,M
2024,SE,FT,Data Scientist,147500,USD,147500,US,100,US,M
2024,EN,FT,Machine Learning Engineer,187500,USD,187500,US,0,US,M
2024,EN,FT,Machine Learning Engineer,99500,USD,99500,US,0,US,M
2024,SE,FT,Analytics Engineer,126400,USD,126400,US,100,US,M
2024,SE,FT,Analytics Engineer,101100,USD,101100,US,100,US,M
2024,SE,FT,Data Engineer,167400,USD,167400,US,100,US,M
2024,SE,FT,Data Engineer,116600,USD,116600,US,100,US,M
2024,SE,FT,Data Analyst,126000,USD,126000,US,0,US,M
2024,SE,FT,Data Analyst,87000,USD,87000,US,0,US,M
2024,SE,FT,Data Engineer,152375,USD,152375,US,100,US,M
2024,SE,FT,Data Engineer,94000,USD,94000,US,100,US,M
2024,SE,FT,Data Quality Analyst,80000,GBP,100000,GB,0,GB,M
2024,SE,FT,Data Quality Analyst,45000,GBP,56250,GB,0,GB,M
2024,SE,FT,Data Architect,276000,USD,276000,US,0,US,M
2024,SE,FT,Data Architect,174000,USD,174000,US,0,US,M
2024,EN,FT,Data Analyst,113800,USD,113800,US,100,US,M
2024,EN,FT,Data Analyst,74400,USD,74400,US,100,US,M
2024,SE,FT,Machine Learning Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Machine Learning Engineer,183000,USD,183000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,260000,USD,260000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,192000,USD,192000,US,0,US,M
2024,EN,FT,Data Analyst,158000,USD,158000,US,0,US,M
2024,EN,FT,Data Analyst,105000,USD,105000,US,0,US,M
2024,SE,FT,Data Scientist,148000,USD,148000,US,0,US,M
2024,SE,FT,Data Scientist,110000,USD,110000,US,0,US,M
2024,MI,FT,Data Manager,128000,USD,128000,US,0,US,M
2024,MI,FT,Data Manager,81500,USD,81500,US,0,US,M
2024,SE,FT,Data Analyst,115000,USD,115000,US,0,US,M
2024,SE,FT,Data Analyst,75300,USD,75300,US,0,US,M
2024,MI,FT,Data Scientist,140000,USD,140000,US,100,US,M
2024,MI,FT,Data Scientist,100000,USD,100000,US,100,US,M
2024,MI,FT,ML Engineer,240000,USD,240000,US,0,US,M
2024,MI,FT,ML Engineer,140000,USD,140000,US,0,US,M
2024,MI,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2024,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L
2024,MI,FT,Data Scientist,187200,USD,187200,CA,0,CA,M
2024,MI,FT,Data Scientist,100800,USD,100800,CA,0,CA,M
2024,SE,FT,Data Engineer,153200,USD,153200,US,100,US,M
2024,SE,FT,Data Engineer,102200,USD,102200,US,100,US,M
2024,SE,FT,Robotics Software Engineer,240000,USD,240000,US,0,US,M
2024,SE,FT,Robotics Software Engineer,160000,USD,160000,US,0,US,M
2024,MI,FT,Data Analyst,105000,USD,105000,US,0,US,M
2024,MI,FT,Data Analyst,77000,USD,77000,US,0,US,M
2024,SE,FT,Data Engineer,207300,USD,207300,US,0,US,M
2024,SE,FT,Data Engineer,119000,USD,119000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,160000,USD,160000,US,100,US,M
2024,MI,FT,Machine Learning Engineer,130000,USD,130000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,155000,USD,155000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
2024,EX,FT,Machine Learning Engineer,265000,USD,265000,US,0,US,M
2024,EX,FT,Machine Learning Engineer,203800,USD,203800,US,0,US,M
2024,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M
2024,SE,FT,Data Analyst,105000,USD,105000,US,0,US,M
2024,SE,FT,Analytics Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Analytics Engineer,272700,USD,272700,US,0,US,M
2024,MI,FT,Robotics Software Engineer,198000,USD,198000,US,0,US,M
2024,MI,FT,Robotics Software Engineer,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Engineer,198000,USD,198000,US,0,US,M
2024,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M
2024,SE,FT,ML Engineer,250000,USD,250000,US,0,US,M
2024,SE,FT,ML Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2024,SE,FT,Data Scientist,139500,USD,139500,US,0,US,M
2024,SE,FT,Data Architect,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Architect,110000,USD,110000,US,0,US,M
2024,SE,FT,Research Scientist,247600,USD,247600,US,0,US,L
2024,SE,FT,Research Scientist,127300,USD,127300,US,0,US,L
2024,SE,FT,Data Scientist,191500,USD,191500,US,0,US,M
2024,SE,FT,Data Scientist,111500,USD,111500,US,0,US,M
2024,SE,FT,Data Scientist,204800,USD,204800,US,0,US,M
2024,SE,FT,Data Scientist,115800,USD,115800,US,0,US,M
2024,SE,FT,Data Science Consultant,116000,USD,116000,US,0,US,M
2024,SE,FT,Data Science Consultant,90000,USD,90000,US,0,US,M
2024,SE,FT,Data Scientist,206000,USD,206000,US,100,US,M
2024,SE,FT,Data Scientist,140250,USD,140250,US,100,US,M
2024,SE,FT,Applied Scientist,225000,USD,225000,US,0,US,M
2024,MI,FT,Data Scientist,190000,USD,190000,US,100,US,M
2024,MI,FT,Data Scientist,175000,USD,175000,US,100,US,M
2024,EN,FT,Data Analyst,84105,USD,84105,US,0,US,M
2024,EN,FT,Data Analyst,76095,USD,76095,US,0,US,M
2024,SE,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Engineer,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2024,SE,FT,Machine Learning Researcher,250800,USD,250800,US,0,US,M
2024,SE,FT,Machine Learning Researcher,167200,USD,167200,US,0,US,M
2024,MI,FT,Data Engineer,165000,USD,165000,US,100,US,M
2024,MI,FT,Data Engineer,140250,USD,140250,US,100,US,M
2024,MI,FT,Data Scientist,110000,USD,110000,US,100,US,M
2024,MI,FT,Data Scientist,90000,USD,90000,US,100,US,M
2024,MI,FT,Research Scientist,300000,USD,300000,US,0,US,M
2024,MI,FT,Research Scientist,200000,USD,200000,US,0,US,M
2024,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M
2024,SE,FT,Data Scientist,104603,USD,104603,US,0,US,M
2024,SE,FT,Data Scientist,279000,USD,279000,US,100,US,M
2024,SE,FT,Data Scientist,183000,USD,183000,US,100,US,M
2024,MI,FT,Data Scientist,252000,USD,252000,US,0,US,M
2024,MI,FT,Data Scientist,168000,USD,168000,US,0,US,M
2024,SE,FT,Data Analyst,96600,USD,96600,US,0,US,M
2024,SE,FT,Data Analyst,55200,USD,55200,US,0,US,M
2024,EN,FT,Data Analyst,73756,USD,73756,US,0,US,M
2024,EN,FT,Data Analyst,61463,USD,61463,US,0,US,M
2024,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Engineer,167500,USD,167500,US,0,US,M
2024,MI,FT,Data Engineer,106500,USD,106500,US,0,US,M
2024,MI,FT,Analytics Engineer,126000,USD,126000,US,0,US,M
2024,MI,FT,Analytics Engineer,78000,USD,78000,US,0,US,M
2024,MI,FT,AI Architect,800000,USD,800000,CA,100,CA,M
2023,EN,FT,Data DevOps Engineer,44382,EUR,47918,NL,50,NL,L
2024,EN,FT,Data Analyst,40100,EUR,44555,LT,0,LT,M
2024,EN,FT,Data Analyst,28069,EUR,31187,LT,0,LT,M
2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M
2024,SE,FT,Data Engineer,137500,USD,137500,US,0,US,M
2024,MI,FT,Data Scientist,127660,USD,127660,US,0,US,M
2024,MI,FT,Data Scientist,68740,USD,68740,US,0,US,M
2024,SE,FT,Machine Learning Engineer,137930,USD,137930,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,74270,USD,74270,CA,0,CA,M
2024,SE,FT,Data Engineer,180500,USD,180500,US,0,US,M
2024,SE,FT,Data Engineer,96200,USD,96200,US,0,US,M
2024,SE,FT,Data Engineer,266875,USD,266875,US,0,US,M
2024,SE,FT,Data Engineer,128250,USD,128250,US,0,US,M
2024,EX,FT,Business Intelligence,230000,USD,230000,US,0,US,M
2024,EX,FT,Business Intelligence,176900,USD,176900,US,0,US,M
2024,MI,FT,Data Scientist,212000,USD,212000,US,0,US,M
2024,MI,FT,Data Scientist,93300,USD,93300,US,0,US,M
2024,MI,FT,Machine Learning Scientist,200000,USD,200000,US,0,US,M
2024,MI,FT,Machine Learning Scientist,140000,USD,140000,US,0,US,M
2024,EN,FT,Data Analyst,80080,USD,80080,US,0,US,M
2024,EN,FT,Data Analyst,65400,USD,65400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,210000,USD,210000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,178500,USD,178500,US,0,US,M
2024,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M
2024,SE,FT,Data Scientist,115500,USD,115500,US,0,US,M
2024,SE,FT,AI Software Engineer,242000,USD,242000,EG,0,EG,M
2024,SE,FT,AI Software Engineer,106200,USD,106200,EG,0,EG,M
2024,SE,FT,Data Integration Engineer,148000,USD,148000,US,0,US,M
2024,SE,FT,Data Integration Engineer,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Engineer,145000,USD,145000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Analyst,96600,USD,96600,US,0,US,M
2024,SE,FT,Data Analyst,55200,USD,55200,US,0,US,M
2024,EN,FT,Data Analyst,85500,USD,85500,US,100,US,M
2024,EN,FT,Data Analyst,51000,USD,51000,US,100,US,M
2024,SE,FT,Data Science,185490,USD,185490,US,0,US,M
2024,SE,FT,Data Science,134530,USD,134530,US,0,US,M
2024,SE,FT,Research Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Research Scientist,192700,USD,192700,US,0,US,M
2024,SE,FT,Data Engineer,205000,USD,205000,US,0,US,M
2024,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M
2024,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2024,SE,FT,Data Scientist,109400,USD,109400,US,0,US,M
2024,MI,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Engineer,277000,USD,277000,US,0,US,M
2024,SE,FT,Data Engineer,173000,USD,173000,US,0,US,M
2024,EX,FT,Data Architect,210000,USD,210000,US,100,US,M
2024,EX,FT,Data Architect,180000,USD,180000,US,100,US,M
2024,MI,FT,Data Engineer,70000,EUR,77777,AT,0,AT,M
2024,MI,FT,Data Engineer,53000,EUR,58888,AT,0,AT,M
2024,MI,FT,Data Engineer,200000,USD,200000,US,100,US,M
2024,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Analyst,193000,USD,193000,US,100,US,M
2024,SE,FT,Data Analyst,156000,USD,156000,US,100,US,M
2024,EN,FT,Business Intelligence Analyst,92000,USD,92000,AU,0,AU,M
2024,EN,FT,Business Intelligence Analyst,90000,USD,90000,AU,0,AU,M
2024,MI,FT,Analytics Engineer,197000,USD,197000,US,0,US,M
2024,MI,FT,Analytics Engineer,115000,USD,115000,US,0,US,M
2024,SE,FT,Data Analyst,86026,EUR,95584,DE,100,DE,M
2024,SE,FT,Data Analyst,71688,EUR,79653,DE,100,DE,M
2024,SE,FT,Data Analyst,86146,EUR,95717,NL,100,NL,M
2024,SE,FT,Data Analyst,71789,EUR,79765,NL,100,NL,M
2024,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M
2024,SE,FT,Data Scientist,130000,USD,130000,US,0,US,M
2024,SE,FT,Data Scientist,297000,USD,297000,US,0,US,M
2024,SE,FT,Data Scientist,138000,USD,138000,US,0,US,M
2024,MI,FT,Research Scientist,212800,USD,212800,US,0,US,L
2024,MI,FT,Research Scientist,124100,USD,124100,US,0,US,L
2024,SE,FT,Data Science,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Science,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Operations Specialist,55720,USD,55720,US,100,US,M
2024,SE,FT,Data Operations Specialist,50700,USD,50700,US,100,US,M
2024,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Analyst,136000,USD,136000,US,0,US,M
2024,SE,FT,Data Engineer,195000,USD,195000,US,100,US,M
2024,SE,FT,Data Engineer,147500,USD,147500,US,100,US,M
2024,SE,FT,Data Engineer,195000,USD,195000,US,100,US,M
2024,SE,FT,Data Engineer,147500,USD,147500,US,100,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,0,US,M
2024,EN,FT,Research Analyst,150000,USD,150000,US,0,US,M
2024,SE,FT,Data Engineer,154000,USD,154000,US,0,US,M
2024,SE,FT,Data Engineer,103000,USD,103000,US,0,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,0,US,M
2024,EN,FT,Research Analyst,150000,USD,150000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,234000,USD,234000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,208000,USD,208000,US,100,US,M
2024,SE,FT,Data Engineer,206000,USD,206000,US,100,US,M
2024,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
2024,SE,FT,Machine Learning Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,159000,USD,159000,US,0,US,M
2024,SE,FT,Data Engineer,150895,USD,150895,US,0,US,M
2024,SE,FT,Data Engineer,120715,USD,120715,US,0,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,100,US,M
2024,EN,FT,Research Analyst,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Scientist,283800,USD,283800,US,0,US,M
2024,SE,FT,Data Scientist,234700,USD,234700,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,86000,USD,86000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,53000,USD,53000,US,0,US,M
2024,SE,FT,Data Scientist,187158,USD,187158,US,0,US,M
2024,SE,FT,Data Scientist,116974,USD,116974,US,0,US,M
2024,SE,FT,Analytics Engineer,225000,USD,225000,US,0,US,M
2024,SE,FT,Analytics Engineer,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,179000,USD,179000,US,0,US,M
2024,SE,FT,Data Scientist,112000,USD,112000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,195700,USD,195700,US,0,US,M
2024,SE,FT,Machine Learning Engineer,97700,USD,97700,US,0,US,M
2024,SE,FT,BI Analyst,100000,USD,100000,US,0,US,M
2024,SE,FT,BI Analyst,85000,USD,85000,US,0,US,M
2024,MI,FT,Data Analyst,119000,USD,119000,US,0,US,M
2024,MI,FT,Data Analyst,52100,USD,52100,US,0,US,M
2024,SE,FT,Business Intelligence Developer,136000,USD,136000,US,0,US,M
2024,SE,FT,Business Intelligence Developer,91536,USD,91536,US,0,US,M
2024,SE,FT,Data Engineer,199700,USD,199700,US,0,US,M
2024,SE,FT,Data Engineer,165100,USD,165100,US,0,US,M
2024,SE,FT,Machine Learning Engineer,251250,USD,251250,US,0,US,M
2024,SE,FT,Machine Learning Engineer,120750,USD,120750,US,0,US,M
2024,SE,FT,Data Scientist,240000,USD,240000,US,100,US,M
2024,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
2024,SE,FT,Data Science,160000,USD,160000,US,100,US,M
2024,SE,FT,Data Science,150000,USD,150000,US,100,US,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,EX,FT,Data Science,220000,USD,220000,US,100,US,M
2024,EN,FT,Data Analyst,130000,USD,130000,US,0,US,M
2024,EN,FT,Data Analyst,100000,USD,100000,US,0,US,M
2024,EN,FT,Data Analyst,170000,USD,170000,US,100,US,M
2024,EN,FT,Data Analyst,150000,USD,150000,US,100,US,M
2024,SE,FT,Data Analyst,150000,USD,150000,US,0,US,M
2024,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
2024,SE,FT,Data Scientist,247300,USD,247300,US,0,US,M
2024,SE,FT,Data Scientist,139800,USD,139800,US,0,US,M
2024,EX,FT,Data Engineer,220000,USD,220000,US,100,US,M
2024,EX,FT,Data Engineer,210000,USD,210000,US,100,US,M
2024,EN,FT,Research Analyst,116000,USD,116000,US,100,US,M
2024,EN,FT,Research Analyst,79000,USD,79000,US,100,US,M
2024,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
2024,MI,FT,Data Scientist,117000,USD,117000,US,0,US,M
2024,MI,FT,Data Scientist,172200,USD,172200,US,0,US,M
2024,MI,FT,Data Scientist,131200,USD,131200,US,0,US,M
2024,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2024,SE,FT,Research Scientist,151800,USD,151800,US,0,US,M
2024,MI,FT,Data Engineer,133000,USD,133000,US,0,US,M
2024,MI,FT,Data Engineer,58300,USD,58300,US,0,US,M
2024,MI,FT,Research Scientist,359400,USD,359400,US,100,US,M
2024,MI,FT,Research Scientist,239600,USD,239600,US,100,US,M
2024,EN,FT,BI Analyst,80000,USD,80000,US,0,US,M
2024,EN,FT,BI Analyst,70000,USD,70000,US,0,US,M
2024,SE,FT,Data Science,324100,USD,324100,US,0,US,L
2024,SE,FT,Data Science,166700,USD,166700,US,0,US,L
2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M
2024,MI,FT,Data Engineer,80000,USD,80000,US,0,US,M
2024,SE,FT,Data Analyst,85000,USD,85000,US,0,US,M
2024,SE,FT,Data Analyst,75000,USD,75000,US,0,US,M
2024,SE,FT,Data Scientist,243800,USD,243800,US,100,US,M
2024,SE,FT,Data Scientist,144200,USD,144200,US,100,US,M
2024,SE,FT,Machine Learning Engineer,220000,USD,220000,CA,0,CA,M
2024,SE,FT,Machine Learning Engineer,200000,USD,200000,CA,0,CA,M
2024,SE,FT,AI Architect,289000,USD,289000,US,100,US,L
2024,MI,FT,Business Intelligence Developer,77826,USD,77826,US,100,US,M
2024,MI,FT,Business Intelligence Developer,59300,USD,59300,US,100,US,M
2024,MI,FT,Data Scientist,166000,USD,166000,US,0,US,M
2024,MI,FT,Data Scientist,73100,USD,73100,US,0,US,M
2024,MI,FT,Research Engineer,151500,USD,151500,US,0,US,M
